id	name	t_start	t_end
1	E3	0.091429	1.35661
2	F3	1.35661	2.570159
3	F#3	2.570159	3.742766
4	G3	3.742766	4.847166
5	G#3	4.847166	6.037188
6	A3	6.037188	7.111111
7	A#3	7.111111	8.222766
8	B3	8.222766	9.311202
9	C4	9.311202	10.340136
10	C#4	10.340136	11.559184
11	D4	11.559184	12.608435
12	D#4	12.608435	13.598186
13	E4	13.598186	14.659048
14	F4	14.659048	15.680726
15	F#4	15.680726	16.647256
16	G4	16.647256	17.490431
17	G#4	17.490431	18.464218
18	A4	18.464218	19.417687
19	A#4	19.417687	20.413243
20	B4	20.413243	21.411701
21	C5	21.411701	22.362268
22	C#5	22.362268	23.318639
23	D5	23.318639	24.373696
24	D#5	24.373696	25.331519
25	E5	25.331519	26.218231
26	F5	26.218231	27.126712
27	F#5	27.126712	28.064218
28	G5	28.064218	29.023492
29	G#5	29.023492	29.891338
30	A5	29.891338	30.747574
31	A#5	30.747574	31.51093
32	B5	31.51093	32.168345
33	C6	32.168345	32.724172
34	C#6	32.724172	33.213243
35	D6	33.213243	33.6878
36	D#6	33.6878	34.108662
37	E6	34.108662	34.639819
38	F6	34.639819	35.185488
39	F#6	35.185488	35.729705
40	G6	35.729705	36.221678
41	G#6	36.221678	36.895057
42	A6	36.895057	37.548118
43	A#6	37.548118	38.320181
44	B6	38.320181	39.077732
